AA.TMR..BLN | 2004-02-11T08:15:04.000000Z - 2004-02-11T08:15:06.015000Z | 200.0 Hz, 404 samples
AA.TMR..BLN | 2004-02-11T08:15:06.045000Z - 2004-02-11T08:15:06.360000Z | 200.0 Hz, 64 samples
AA.TMR..BLN | 2004-02-11T08:15:06.390000Z - 2004-02-11T08:15:07.275000Z | 200.0 Hz, 178 samples
AA.TMR..BLN | 2004-02-11T08:15:07.305000Z - 2004-02-11T08:15:08.830000Z | 200.0 Hz, 306 samples
AA.TMR..BLN | 2004-02-11T08:15:08.870000Z - 2004-02-11T08:15:09.585000Z | 200.0 Hz, 144 samples
AA.TMR..BLN | 2004-02-11T08:15:09.635000Z - 2004-02-11T08:15:12.475000Z | 200.0 Hz, 569 samples
AA.TMR..BLN | 2004-02-11T08:15:12.510000Z - 2004-02-11T08:15:13.740000Z | 200.0 Hz, 247 samples
AA.TMR..BLN | 2004-02-11T08:15:13.775000Z - 2004-02-11T08:15:14.265000Z | 200.0 Hz, 99 samples
AA.TMR..BLN | 2004-02-11T08:15:14.305000Z - 2004-02-11T08:16:02.425000Z | 200.0 Hz, 9625 samples
AA.TMR..BLN | 2004-02-11T08:16:02.455000Z - 2004-02-11T08:16:05.500000Z | 200.0 Hz, 610 samples
AA.TMR..BLN | 2004-02-11T08:16:05.530000Z - 2004-02-11T08:16:06.120000Z | 200.0 Hz, 119 samples
AA.TMR..BLN | 2004-02-11T08:16:06.165000Z - 2004-02-11T08:16:07.860000Z | 200.0 Hz, 340 samples
AA.TMR..BLN | 2004-02-11T08:16:07.890000Z - 2004-02-11T08:16:09.965000Z | 200.0 Hz, 416 samples
AA.TMR..BLZ | 2004-02-11T08:15:04.000000Z - 2004-02-11T08:15:04.245000Z | 200.0 Hz, 50 samples
AA.TMR..BLZ | 2004-02-11T08:15:04.275000Z - 2004-02-11T08:15:04.315000Z | 200.0 Hz, 9 samples
AA.TMR..BLZ | 2004-02-11T08:15:04.355000Z - 2004-02-11T08:15:04.560000Z | 200.0 Hz, 42 samples
AA.TMR..BLZ | 2004-02-11T08:15:04.590000Z - 2004-02-11T08:15:04.840000Z | 200.0 Hz, 51 samples
AA.TMR..BLZ | 2004-02-11T08:15:04.885000Z - 2004-02-11T08:15:06.115000Z | 200.0 Hz, 247 samples
AA.TMR..BLZ | 2004-02-11T08:15:06.150000Z - 2004-02-11T08:15:11.420000Z | 200.0 Hz, 1055 samples
AA.TMR..BLZ | 2004-02-11T08:15:11.450000Z - 2004-02-11T08:15:11.550000Z | 200.0 Hz, 21 samples
AA.TMR..BLZ | 2004-02-11T08:15:11.580000Z - 2004-02-11T08:15:11.940000Z | 200.0 Hz, 73 samples
AA.TMR..BLZ | 2004-02-11T08:15:12.000000Z - 2004-02-11T08:15:12.110000Z | 200.0 Hz, 23 samples
AA.TMR..BLZ | 2004-02-11T08:15:12.145000Z - 2004-02-11T08:15:13.005000Z | 200.0 Hz, 173 samples
