Id,code,lat,lng,location,type,oldCode
1,ALM,31.790,35.461,Almog,Etna,
2,ALN,32.721,35.142,Alonim,A-800,
3,AMI,32.927,35.539,Amiad,Etna,
4,ARD,31.257,35.210,Arad,Etna,ARAD
5,ARI,32.104,35.210,Ariel,Etna,
6,ASH,31.840,34.655,Ashdod,A-800,ASD
7,ASQ,31.630,34.523,Ashkelon,A-800,
8,BET,32.498,35.498,BeitShaan,Etna,BETS
9,BNR,31.649,34.872,BeitNir,Etna,
10,BRS,31.263,34.804,Bersheva,Etna,
11,DAM1,31.231,35.397,DeadSeaDam,Etna,DA1
12,EFR,32.071,35.403,MaaleEfraim,Etna,
13,EILT,29.565,34.949,Eilat,Etna,EIL
14,ELOT,29.582,34.964,Elot,Etna,
15,ELTN,29.672,34.952,EilatTunnel,A-800,
16,GOS,33.220,35.624,Hagoshrim,A-800,
17,HAC,32.812,35.021,HaifaHH,A-800,
18,HAD,32.467,34.887,Hadera,A-800,
19,HAI,32.890,35.100,KfarMasarik,A-800,
20,HAR,30.036,35.037,NeweHarif,Etna,
21,HAT,32.779,35.024,HaifaTechnion,A-800,
22,HAZ,30.768,35.280,Hazeva,Etna,
23,HLN,32.017,34.770,Holon,Etna,
24,HUL,33.050,35.611,Hulata,Etna,
25,HUV,32.761,35.021,Haifauniversity,Etna,
26,IZR,32.563,35.323,Yisrael,Etna,
27,JER,31.772,35.198,Jerusalem,A-800,
28,KAZ,32.987,35.692,Kazrin,Etna,
29,KIT,33.207,35.569,KiriatShmona,A-800,
30,KSB,32.175,34.902,KfarSaba,Etna,
31,LAV,31.381,34.871,Lahav,A-800,
32,LOD,31.960,34.902,Lod,K-2,
33,MAD,31.003,34.784,MashabeSade,A-800,
34,MAN,33.195,35.546,Manara,ETNA,
35,MAS,32.683,35.598,Massada,Etna,
36,MEH,32.365,35.515,Mehula,Etna,
37,MER,31.029,35.361,DeadSeaWorks,Etna,
38,MIZ,31.569,35.400,MizpeShalem,Etna,
39,MRM,30.598,34.762,Ramon,A-800,RAM
40,NAZ,32.700,35.274,KfarHahoresh,Etna,
41,NTY,32.320,34.887,Natanya,Etna,
42,P088,31.328,35.401,P88,Etna,
43,P5,31.235,35.368,P5,Etna,P005
44,PET,32.089,34.874,PetahTikva,Etna,
45,POR,32.751,35.541,PoriaHospital,Etna,
46,RDG,32.104,34.778,RidingTel-Aviv,A-800,
47,REH,31.876,34.817,Rehovot,Etna,
48,ROD1,29.580,34.978,Roded1,A-800,
49,ROI,32.248,35.488,Roi,Etna,
50,ROSH,32.970,35.546,RoshPina,Etna,
51,RTM,31.065,35.197,Rotemworks,A-800,TMR
52,SVT,30.907,34.398,KadeshBarnea,A-800,
53,TVM,32.786,35.542,TveriaHotel,Etna,NHRH-TVR2
54,TVR,32.796,35.536,Tveria,Etna,
55,YIT,31.947,35.423,Yitav,Etna,
56,ZEF,32.969,35.493,Zefat,Etna,
57,ZOF,30.562,35.182,Zofar,Etna,
