Event ID	Latitude	Longitude	Depth	Epoch time	Magnitude	np	Year	Month	day	Hour	Min	sec
1	32.01	35.4302	15.3051	473422814.2	1.4	7	1985	1	1	10	20	14.2213974
2	31.9274	35.4628	0.4154	473427976.8	1.1	5	1985	1	1	11	46	16.76509857
3	32.1686	35.4492	12.0946	473743377.9	2.4	4	1985	1	5	3	22	57.88079834
4	33.0905	35.7508	9.6429	473975079.9	1.9	11	1985	1	7	19	44	39.94429779
5	32.7844	35.6469	4.486	474008219.5	1.7	8	1985	1	8	4	56	59.49859619
6	32.2566	35.3357	3.5236	474192456.8	2.5	15	1985	1	10	8	7	36.78829956
7	31.9125	35.5203	17.1902	474214043.6	2.5	22	1985	1	10	14	7	23.60669708
8	32.9684	35.724	37.9624	475158232.1	1.8	5	1985	1	21	12	23	52.13269806
9	30.7462	35.4582	0.0577	475319641.2	1.1	4	1985	1	23	9	14	1.153396606
10	30.5745	35.2448	16.7455	475461599.9	1.8	7	1985	1	25	0	39	59.94819641
11	30.5406	35.1317	19.3951	475462247.8	1.4	5	1985	1	25	0	50	47.76909637
12	30.4831	35.2292	31.7469	475462792.4	1.8	7	1985	1	25	0	59	52.3789978
13	30.5579	35.1646	15.6971	475465900.4	1.4	7	1985	1	25	1	51	40.44439697
14	30.5381	35.2166	21.3703	475473507.3	2.1	11	1985	1	25	3	58	27.28720093
15	30.5736	35.183	6.5048	475478147.2	1.7	6	1985	1	25	5	15	47.23940277
16	31.9156	35.5041	22.4763	475481284.1	4.8	13	1985	1	25	6	8	4.096603394
17	30.0752	34.907	2.9984	475487100	1.8	4	1985	1	25	7	44	59.98840332
18	30.5555	35.256	17.7309	475487792.5	1.4	4	1985	1	25	7	56	32.48419952
19	31.9248	35.4962	22.9044	475592604.2	1.4	11	1985	1	26	13	3	24.17459869
20	31.9383	35.483	19.7858	475615967.3	1.8	6	1985	1	26	19	32	47.34629822
21	31.8966	35.4903	19.9291	475702610	1.1	19	1985	1	27	19	36	50.03340149
22	31.8731	35.4461	20.7619	475814040.9	1.4	6	1985	1	29	2	34	0.949501038
23	31.9767	35.3476	21.0044	475984523	1.8	5	1985	1	31	1	55	22.9865036
24	31.678	35.5359	23.6166	476032031.8	3.8	15	1985	1	31	15	7	11.84950256
25	31.4178	35.4606	11.0861	476067685.8	2.4	12	1985	2	1	1	1	25.79750061
26	32.103	35.1029	37.89	476334878.4	1.8	7	1985	2	4	3	14	38.3608017
27	32.4164	35.5735	10.1239	477103529.6	2.1	15	1985	2	13	0	45	29.59770203
28	32.4175	35.576	7.1804	477106692.3	1.8	9	1985	2	13	1	38	12.29119873
29	29.983	35.1544	3.9918	477174600.1	1.1	4	1985	2	13	20	30	0.054100037
30	31.9061	35.5228	22.9611	477946711.4	1.8	8	1985	2	22	18	58	31.40110016
31	29.8472	34.9796	9.7839	478120401.2	2.5	9	1985	2	24	19	13	21.15460205
32	31.4668	33.3882	20.4387	478121891.7	1.4	4	1985	2	24	19	38	11.6710968
33	33.1838	35.8868	4.8012	478609999.1	2.1	6	1985	3	2	11	13	19.12860107
34	29.8716	34.961	0.0527	479527597.9	1.7	7	1985	3	13	2	6	37.88829803
35	29.7395	34.9979	19.7221	479607053.8	2.1	11	1985	3	14	0	10	53.80870056
36	29.9492	34.9437	3.2573	479788718.4	2.1	6	1985	3	16	2	38	38.36100006
37	29.6811	35.0917	26.1099	479796108.5	1.8	4	1985	3	16	4	41	48.50959778
38	29.001	34.7054	31.5024	479841915.1	2.8	8	1985	3	16	17	25	15.05940247
39	29.0935	34.9462	14.0212	479882273.3	2.5	4	1985	3	17	4	37	53.26409912
40	32.4229	34.9081	3.1498	479986871.7	1.1	4	1985	3	18	9	41	11.68730164
41	31.5752	35.5882	15.9897	480062904.9	2.5	10	1985	3	19	6	48	24.85420227
42	31.4216	35.5336	16.8333	480118594.2	2.1	10	1985	3	19	22	16	34.17870331
