Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Component,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
1,,2008,1019,1407,IS_KZIT__BHN,BHN,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,416.674052,,,,,,,,30.9067,34.3979,,,,,,,,,,,,0.27215721408485116,8.04504145735736,,,4.721299882487553e-06,4.3424510788468605e-07,5.3243629581122367e-08,3.166664610595149e-08,3.1494123486474745e-08,3.135846768767743e-08,3.0666427514252746e-08,3.018212923857711e-08,2.9141894354896667e-08,2.6377306832779226e-08,2.3670158139761962e-08,4.0252008790158614e-08,8.526471960411049e-08,1.0461827471861138e-07,5.91476558763642e-07,5.228512101018459e-07,9.05950033514624e-07,3.293839297650982e-06,1.2034592682726794e-05,1.3086659091255734e-05,4.1620590622121785e-05,0.00010176905023226963,0.0001439450097103802,0.0002546756138985536,0.00048693386887216903,0.0006142877725760164,0.0005706608217671354,0.0008538614270982804,0.00091913219624013,0.0010572255365357385,0.0015798160665664372,0.00039161764417216583,0.0016778719202305576,0.0009509002478369844,0.0009086369906541643,0.0007809236275924535,0.0015134970433029495,0.0006902694876441001,0.00023091869183526254,0.00015660609244680384,4.676405873729255e-05,3.862363679826713e-05,1.2282666947137138e-05,7.12351209161835e-07,3.4087147016393696e-09,,,,,,,,,
2,,2008,1019,1407,IS_ZFRI__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,463.793849,,,,,,,,30.5649,35.1787,,,,,,,,,,,,0.5928838589640875,7.355839335148428,,,8.097982738766721e-09,6.004736111615772e-10,6.3840164255663095e-09,1.930997104579889e-07,1.931243151642873e-07,1.932090654455623e-07,1.932583818624739e-07,1.9389896904042687e-07,1.931556475219132e-07,1.9178875529666777e-07,1.921334801341716e-07,1.9626081344487226e-07,1.9240421875996548e-07,1.9705075478352574e-07,1.9402719502492398e-07,1.9792257404199998e-07,1.9865171720903225e-07,2.0242733931341352e-07,2.044434114402425e-07,2.1088676441248455e-07,2.3255758036032572e-07,2.3891137720339657e-07,2.4348350763859754e-07,2.3809370817832668e-07,3.0269717185499663e-07,3.961271225264061e-07,3.868372456741961e-07,8.668827856535701e-07,1.7181525424285702e-06,2.8310072090810088e-08,1.443720744773916e-06,4.50488826369817e-06,1.3367568508703645e-06,4.3863174609218565e-06,2.6937328725232427e-06,3.932971001672588e-06,1.1410531298071738e-06,5.59451722251527e-07,1.0260041162555855e-06,6.082129988080598e-07,2.7907570563908966e-07,8.368960141903432e-08,4.116827928918158e-08,4.6350980661440795e-09,4.2860299662494485e-09,,,,,,,,,
3,,2008,1019,1407,IS_KZIT__BHE,BHE,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,416.674052,,,,,,,,30.9067,34.3979,,,,,,,,,,,,0.18247985568656483,8.046297351765542,,,2.5043937904733516e-05,9.860965592267663e-07,6.879989511655327e-08,1.7918174948338426e-05,1.7914692055937434e-05,1.7910790083143135e-05,1.7902611955437044e-05,1.7890303812552335e-05,1.7874416844891207e-05,1.7846259186397596e-05,1.7804017709627274e-05,1.766197235863156e-05,1.7445466792446744e-05,1.801415584048877e-05,1.5789468381474367e-05,1.647319367250165e-05,1.8490637561321667e-05,2.3175554464070158e-05,3.8074270072832474e-05,4.665573620822102e-05,0.00017564890000073391,0.0001478103953685636,0.0004882994251318896,0.0001296860553579937,0.00022686142127300768,0.0005301647755894946,0.0006266036009688384,0.00033634712097872093,0.0012791489686491387,0.0006319063219424219,0.0023455030859222755,0.0019358714803691794,0.004639037501469532,0.0038202420166252044,0.0032048200587715026,0.0033556759533961886,0.0027433953672498434,0.002127946731555629,0.0034270295351609046,0.0019281324682679734,0.0007474455521981716,0.0007571308117203505,0.00016476951396839345,1.2902951282671846e-05,3.224482682838905e-06,,,,,,,,,
4,,2008,1019,1407,IS_RTMI__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,402.710227,,,,,,,,31.05451,34.69116,,,,,,,,,,,,0.4090342573428822,6.829069145386004,,,5.5069025503156344e-08,2.1567592438588243e-09,7.770981005009294e-09,2.787987664899206e-07,2.78944173993561e-07,2.7913972576649743e-07,2.7920806850041537e-07,2.800801569336138e-07,2.7857721956736413e-07,2.775096353352403e-07,2.744345742397923e-07,2.8563377918307224e-07,2.869119688802703e-07,2.9178252186923307e-07,3.0327288309754523e-07,3.066002529883608e-07,3.301878930779267e-07,3.030779694070837e-07,3.022781745955538e-07,3.0821070969401285e-07,4.870784714306115e-07,4.370393019049962e-07,4.839467090749273e-07,6.294307815156131e-07,9.930810320459434e-07,5.658751890081784e-07,1.1943656436137242e-06,2.9528358594727567e-06,9.323300167661671e-07,3.1271377364591225e-06,3.01302102992831e-06,4.666064049271577e-06,1.3596578314929602e-05,4.552038662873126e-06,2.3787508982832994e-05,1.3134335530183827e-05,2.7363919217520303e-05,2.0985513786607368e-05,6.333916400319093e-06,3.6690955666869598e-06,1.85778206137193e-06,8.492231582973748e-07,2.780650888459646e-07,1.6356411291817068e-08,1.898397920612971e-09,,,,,,,,,
5,,2008,1019,1407,IS_KZIT__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,416.674052,,,,,,,,30.9067,34.3979,,,,,,,,,,,,0.19561682238531458,6.701949982553215,,,4.987653456989252e-06,2.450139485940862e-07,2.0085793004940894e-08,6.645473549719014e-07,6.652727442272171e-07,6.661084465472628e-07,6.679494954397029e-07,6.700648731289127e-07,6.736558044386059e-07,6.77356514631984e-07,6.830456405204579e-07,6.703552300108067e-07,7.918329156700694e-07,9.49877232081369e-07,1.4126942754856744e-06,1.1020784998321229e-06,1.4168017987918573e-06,5.370947855624418e-06,1.5510956278296433e-05,5.8261833782928764e-05,9.20919888864723e-05,2.8408867674805435e-05,4.668842766976469e-05,0.00015815124935752994,0.00015099549646989806,0.0001638017280624326,0.00021701341560599155,0.00024843206876963396,0.0004510831053196672,0.0004424589659823101,0.00046617822164955877,0.0006118448587381413,0.0012171437303161222,0.0005631444898183448,0.0016361921648347982,0.001074207961773924,0.000685033681040814,0.0008652615973528131,0.0005482083458567704,0.0009021186175188385,0.0001658742417531488,0.0001211266988236867,3.708136664770896e-05,4.167678655725615e-06,1.6592852839938807e-06,,,,,,,,,
6,,2008,1019,1407,IS_MMA0B__BH1,BH1,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,215.13779,,,,,,,,33.01527,35.40305,,,,,,,,,,,,0.01,17,,,2.696734354330098e-06,1.00068430475617e-07,3.1115694051731135e-08,1.1296197825658518e-06,1.7445614921785546e-06,1.3498454275864288e-06,1.510315675051574e-06,9.645175998226562e-07,1.6585720957566323e-06,4.93786974338895e-06,1.6868689312948631e-06,3.601955445036251e-06,3.1529096210777987e-06,3.402444397077488e-06,8.83139733590535e-06,1.1292741542606267e-05,2.004438086144407e-05,3.4477444665505415e-05,2.2422618706448013e-05,4.103029070303368e-05,4.112591772416006e-05,5.828269168328956e-05,4.911257297696442e-05,0.0001604855915985044,9.22980134918279e-05,0.00010199584989287061,8.538699584779256e-05,0.00014125537433989634,6.839285063983756e-05,0.00015718776956036642,0.0002478983083482697,0.00033250290684663564,0.0004730361077890048,0.00013942516795140069,0.0005121827901644477,0.0007177248543024275,0.00040786134617786424,0.00026774140515202136,0.00039003776171216977,0.00031520543044713506,0.0002572666095504386,0.0001776029088452241,9.200968218812903e-05,0.0001213176023788751,3.8884098323901655e-07,,,,,,,,,
7,,2008,1019,1407,IS_MMA4__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,214.927883,,,,,,,,33.01462,35.39752,,,,,,,,,,,,0.10796909150860352,14.477555778261765,,,1.6626373367407253e-05,4.623666642150041e-07,2.09475466895277e-08,3.020032748135916e-08,3.023805979832039e-08,3.028319249898973e-08,3.037353604771501e-08,3.0512401707586086e-08,3.0703683962559926e-08,3.109665491850576e-08,3.1710276502981954e-08,2.9646329591595255e-08,2.783072756268728e-08,8.125235234154384e-08,2.58923799164515e-07,3.4763278755090594e-07,9.376952043363945e-07,4.738514201261327e-07,4.164088759231062e-06,9.133352437173115e-06,6.359998831091055e-06,1.6242949138417585e-05,4.7359670652085475e-06,4.7406702086723265e-05,4.202496340203374e-05,2.3488194035936206e-05,0.00011339135834730123,7.994013199874681e-05,0.00010312191798881907,0.00024908315466158084,0.0002596057792515807,0.00029662845684380845,0.0007199083016863986,0.0012024921423969893,0.0007915144704232173,0.0006966945684854309,0.0018977424204165271,0.0053480928626624,0.0060648044477399346,0.00471920143744263,0.003061705675267553,0.0015005328357695477,0.00046471318736619353,0.0002745184917701614,2.624668649199757e-08,,,,,,,,,
8,,2008,1019,1407,IS_MMC5__BHZ,BHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,216.232514,,,,,,,,33.00869,35.41269,,,,,,,,,,,,0.15737845512441853,15.610773157806022,,,2.9229782162903823e-05,1.0040377923260693e-06,3.614458005032249e-08,6.765742605792958e-10,6.846470107754718e-10,6.940155631470899e-10,7.096061021542923e-10,7.379241877583182e-10,7.676662613088837e-10,8.605527303735717e-10,8.150127865598144e-10,9.703140914652656e-10,4.071935722941329e-09,1.635277323081644e-08,5.372162344043884e-08,9.807622538566311e-08,3.762614170052959e-07,3.5993173316007695e-07,2.460484307497194e-06,6.074929163246596e-06,3.054651655646134e-06,1.5624920084236388e-05,1.3319750139240501e-05,2.1325337072253217e-05,4.622351894524464e-05,7.444881003778823e-05,2.559814775508236e-05,0.0001461155406062565,0.00015197569925001628,0.00024981500761496017,0.00011850764491227482,0.00018887785868781153,0.0012926666164061857,0.0003670991205756034,0.0014412028213856287,0.002044185930192729,0.00157593533058845,0.0006353370466573934,0.003223918913755661,0.0034274635608508193,0.0011457800353283066,0.001447314229380759,0.00011295998489029936,0.00014181799746076527,8.032429048822456e-09,,,,,,,,,
9,,2008,1019,1407,IS_MZDA__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,387.738314,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.20232171529551018,7.922493975857067,,,1.3662266482719108e-08,1.8893911926164533e-09,3.0722500892276844e-08,6.620544716675972e-07,6.627170272615345e-07,6.659315580117366e-07,6.724152105696494e-07,6.584288539671694e-07,6.829036103273074e-07,7.145799411619816e-07,9.035340773157597e-07,1.1584432885133599e-06,7.742468502342656e-07,7.615131252999658e-07,7.110546769237334e-07,7.87582532287845e-07,8.835914768610532e-07,7.346713492744175e-07,7.215861004926418e-07,5.366129604204526e-07,8.778935610229192e-07,7.622982919699517e-07,5.215558651390397e-07,8.837164113205449e-07,4.864867456883613e-07,5.420478634442858e-07,6.516013670856286e-07,1.3334621303975143e-06,2.4783174120913556e-06,1.2353137334742286e-06,1.8097821485897914e-06,3.2970051450038822e-06,2.7090866574031883e-06,2.437649781457983e-06,3.0326019547290807e-06,6.172614444259282e-07,4.2460917341501635e-06,4.921956406628248e-06,2.247848345230683e-06,2.300085874365017e-06,4.54604515670868e-07,7.651793357809532e-07,1.5478748063605228e-07,4.48999575790498e-08,6.986043398036304e-09,,,,,,,,,
10,,2008,1019,1407,IS_DSI__SHZ,SHZ,,,,IS,3.5,,,,,,,34.6589,34.1689,,,,,,,,358.639287,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.18763477559595848,11.548025876957055,,,1.9460243771744324e-05,7.105484919250945e-07,6.172064325007339e-08,3.0131482317334467e-07,2.98002772642122e-07,2.228207590006234e-07,3.956012253435758e-07,3.9762265779666857e-07,5.186115734250072e-07,1.2668100458636583e-06,1.218630755512846e-06,2.6122391875303723e-06,3.0552280342610147e-06,1.4738913318667328e-06,1.2927570219971095e-05,1.5919991558469668e-05,1.3113555909969368e-05,2.796712596378481e-05,6.812385324238687e-05,6.004840248236265e-05,9.58565187148722e-05,0.00010108409365756744,0.0001016261947640316,0.00014521072698003683,0.000186095106074036,3.221580144518297e-05,0.00019342709153984092,0.00028337800090460596,0.0005879060402824647,0.0002144831312872674,0.001975957009704067,0.0018302395301402002,0.0007067150910990473,0.001444507026069976,0.002648936489164412,0.0007878503433356641,0.0021808345010465246,0.002591561966185028,0.0013813219200631626,0.001544589282134163,0.0010971729563347796,0.0003909260845790599,0.0001934722320714329,1.2068411592255589e-05,3.185511205450005e-09,,,,,,,,,
