Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
1,,2008,0214,1659,IS_MMA0__BHZ,,,,IS,3.1,,,,,,,33.282,35.3936,,,,,,,,29.605532,,,,,,,,33.01518,35.40311,,,,,,,,,,,,,,,,0.0009300933010520353,2.4918392566561487e-06,8.8120824830414236e-08,5.229468417141691e-10,5.2319763358927089e-10,5.2344842546437268e-10,5.2370554715639694e-10,5.2417433124623322e-10,5.2521975004517222e-10,5.2295989577982004e-10,5.2648394409136559e-10,5.2577109797197459e-10,5.3122791966525807e-10,5.2414351141904999e-10,5.5774573794968076e-10,5.6804314471631653e-10,5.4615993625013132e-10,7.4281895283510623e-10,9.9702547996804492e-10,1.9910420200118288e-09,2.8398680417163563e-09,2.1079999412817146e-09,3.5678016676137835e-09,8.7783034762536828e-09,1.4131187152971696e-08,2.0212992591387059e-08,4.8441704356509824e-08,3.3747197387920792e-08,1.2815968110775234e-07,2.3163288608719246e-07,7.118273854951126e-07,7.204043851535741e-07,5.7031884338966313e-07,2.348816149220068e-07,1.1846616953413485e-06,2.74838081618077e-07,7.4334152906719261e-07,6.7640204868943846e-07,2.5839577543548844e-06,2.446285318799902e-06,2.3936793755935646e-06,2.548861131994675e-06,3.7142711658573588e-06,1.1945111199780049e-06,3.9571376188697247e-09,,,,,,,,,
2,,2006,0202,0941,IS_MMLI__BHZ,,,,IS,4.6,,,,,,,27.2428,34.9038,,,,,,,,578.059049,,,,,,,,32.438,35.422,,,,,,,,,,,,0.21274626408445713,11.841793144174749,,,8.3948346727982917e-05,2.1814901500074673e-06,6.5475816806111231e-07,3.3117199687771382e-11,3.2973492696264711e-11,3.2802280683023618e-11,3.2495102168653772e-11,3.1994277610999523e-11,3.1385001787123129e-11,3.0475091690441555e-11,2.9159954458089035e-11,2.7073652023783405e-11,2.384513337311079e-11,2.0018328857761502e-11,1.1700523300597547e-11,1.0508384522252376e-10,3.1580370099230889e-09,8.4427181498117041e-09,3.3434747257485003e-08,9.4115780715829691e-08,2.2660727451754118e-07,3.3388938210710929e-07,3.498473823809022e-07,4.5840498208958675e-07,4.721026533204172e-07,4.0073952469288528e-07,6.2480917263548589e-07,9.4334950381677644e-07,6.4623317425092738e-07,6.5443943235679022e-07,1.5822468475790829e-07,1.7432686603260583e-07,2.2007603048828786e-07,2.2990902899789846e-07,1.1338600263073185e-07,1.2286189373198553e-07,8.203616960661388e-08,7.3860002517265427e-08,5.7322320482819584e-08,5.8409670758522146e-08,3.7619510055813341e-08,1.8821270497195387e-08,3.0748112734106577e-09,2.0589419161219974e-11,1.1280884668120539e-13,,,,,,,,,
3,,2006,0202,0941,IS_MMLI__BHE,,,,IS,4.6,,,,,,,27.2428,34.9038,,,,,,,,578.059049,,,,,,,,32.438,35.422,,,,,,,,,,,,0.16969710913234198,10.444048025110865,,,0.00014715695736989491,2.5157490753445778e-06,7.7166332304752744e-07,3.1415907410865982e-09,3.1436068547690233e-09,3.1459301278306077e-09,3.1500328818409125e-09,3.1570906343006551e-09,3.1658047199046661e-09,3.1742667020014274e-09,3.1885674373313268e-09,3.2670165161338872e-09,3.1786624447640185e-09,3.4186807681380697e-09,5.1230723206299859e-09,1.8549605171014679e-08,7.7598632366959429e-08,1.3398709301302675e-07,1.9919865538089661e-07,1.0892659618701055e-07,3.7210584785480462e-07,2.1809627185288838e-07,6.0821230363353767e-07,4.9732598006938862e-07,9.0978807039869161e-07,1.5040954995641416e-07,8.940434155812487e-07,1.0581724789847791e-06,9.4689740283324652e-07,8.9811254560199416e-07,4.5951303376353112e-07,4.6234319208513082e-07,4.6440573641244507e-07,2.5952933245858132e-07,5.6183326960125103e-07,4.3266196001071843e-07,2.427991745027023e-07,1.5423803149376937e-07,1.6090738723523733e-07,1.4735260813711488e-07,5.3161982151399394e-08,1.9607212859528215e-08,1.529610151467627e-09,3.1558369737666488e-10,1.5187266772627203e-10,,,,,,,,,
4,,2006,0202,0941,IS_MMLI__BHN,,,,IS,4.6,,,,,,,27.2428,34.9038,,,,,,,,578.059049,,,,,,,,32.438,35.422,,,,,,,,,,,,0.26671622818627921,10.184955554091268,,,0.00012817612967751544,2.1053744031202234e-06,4.2335964063166679e-07,1.2929912340036828e-09,1.293532395049732e-09,1.2941734081450654e-09,1.2952940114557213e-09,1.297183204860656e-09,1.2994978127550475e-09,1.3031268688482459e-09,1.3088783780967554e-09,1.3150032435849144e-09,1.3245481297024324e-09,1.3341027663876862e-09,1.3994199772139898e-09,1.5008350396570685e-09,6.2292652675221008e-09,6.5134850135993068e-09,3.5402816475418242e-08,4.0841171097585911e-08,7.6607397266841706e-08,2.154380861325427e-07,3.6241949995067163e-07,3.0916635255671824e-07,6.2807410014650095e-07,7.5451350805798186e-07,5.5802058469950746e-07,6.7347597583686144e-07,1.4406251887887273e-06,2.2940435263576031e-07,1.6302833155822823e-07,4.8822928094177415e-08,4.7237580365868974e-07,1.5655735584766249e-07,4.6933903282527053e-07,1.8634682447336594e-07,2.0767378094533282e-07,2.5023546983502141e-07,1.2256031389416192e-07,1.3870352923204916e-07,3.0067116481198542e-08,1.5966899167004709e-08,1.6481342792198659e-09,2.3434662385521179e-10,9.1962682179062872e-11,,,,,,,,,
5,,2008,0128,0301,IS_MMA0__BHZ,,,,IS,3.4,,,,,,,35.299,36.235,,,,,,,,264.689772,,,,,,,,33.01518,35.40311,,,,,,,,,,,,0.58109993174575947,12.451936994525948,,,7.3950839134200326e-05,1.9004661485964994e-07,5.8051615334164324e-09,1.1128485877075117e-11,1.1198061150356453e-11,1.1285894146581106e-11,1.1437185103424211e-11,1.1680166547708003e-11,1.1968395350468945e-11,1.2386433823755209e-11,1.2971873477846645e-11,1.3870763605673287e-11,1.4889634217988259e-11,1.645459228970102e-11,1.8505526740481937e-11,2.1117487193929174e-11,2.4742816793195791e-11,2.8441261067278475e-11,3.7266648722595833e-11,4.3563941462742066e-11,6.5930545478909551e-11,6.5361918191198433e-11,2.7718062583305816e-10,1.8321626100009956e-09,2.8663419019748784e-09,3.8983079437100211e-09,1.1380085274672501e-08,4.9380481637287908e-09,8.8930179171198591e-09,1.6733135181698475e-08,8.4986851566023623e-09,2.1541904571508665e-08,7.5109325809737493e-08,1.0519081462722257e-07,4.1721490123395228e-08,9.6403446345096505e-08,2.046969468847709e-07,1.2837468467179118e-07,5.0620471822414273e-08,2.7229048380197918e-07,2.1994994474884652e-07,4.8473144475263814e-08,5.7321327382510208e-08,3.5765962393134013e-09,9.7549182649359827e-12,,,,,,,,,
6,,2008,0128,0301,IS_DSI__SHE,,,,IS,3.4,,,,,,,35.299,36.235,,,,,,,,418.406566,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.52554745366924738,8.3306974396366797,,,3.402388154857878e-05,1.7327027033978802e-07,1.2123679158032361e-07,1.3576481598987841e-09,1.3577271471396001e-09,1.3578190186915708e-09,1.3579839853785598e-09,1.3582511315124028e-09,1.3585810624777743e-09,1.3590722140209565e-09,1.3597819428868628e-09,1.3609390818618569e-09,1.3623433299510074e-09,1.3647074475389037e-09,1.3681367314525435e-09,1.3731036545554165e-09,1.3809994519162376e-09,1.3909658846863037e-09,1.4139692873825997e-09,1.4317162831688361e-09,1.5029050295988831e-09,1.6967069461908811e-09,1.9819593096420774e-09,8.3115248121478332e-09,2.8260446547064907e-08,2.4313336493676059e-08,7.496971837795461e-08,4.243233371527274e-08,4.8163041151374319e-08,1.1587102160190443e-07,3.158865925925553e-08,7.6792571131711106e-08,3.5310583103620439e-08,8.0648292200994747e-08,2.5855651503672592e-08,1.957251799361869e-07,2.489103970338816e-08,1.1097576647055043e-07,1.9958362836736066e-08,3.8823797603519183e-08,3.2323207932990474e-08,1.9090195696982144e-09,1.2337783475386785e-10,3.0513332211205219e-11,2.7945922350342596e-11,,,,,,,,,
7,,2008,0128,0301,IS_MZDA__SHE,,,,IS,3.4,,,,,,,35.299,36.235,,,,,,,,449.741293,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.39866213997780192,8.3306974396366797,,,5.0481076226444086e-08,2.4550361953145468e-10,1.6036694613060569e-10,1.4220467208644495e-12,1.4223357047255287e-12,1.422700566036711e-12,1.423332794156994e-12,1.4243576727223934e-12,1.4256181842883623e-12,1.4274967081194947e-12,1.430219631891799e-12,1.4346555791492805e-12,1.4400076122357805e-12,1.4489680621275903e-12,1.4619992622559286e-12,1.4806019869999084e-12,1.5101382855413246e-12,1.5495078136160263e-12,1.6269636804726514e-12,1.7254665221783348e-12,1.925127493597364e-12,2.6087115136662743e-12,8.2725893634939601e-12,1.6158936921334722e-11,1.0272797100368719e-11,3.2576238544669526e-11,3.0855406381363202e-11,6.1272291971328101e-11,1.2638039835553274e-10,1.0725472209943966e-10,2.7262849945720367e-10,5.8969630384903758e-11,2.0611346544682513e-10,3.2186094972864323e-11,7.202151376306052e-11,2.5983725134954828e-10,1.9018513096492036e-10,7.1740690646191879e-11,1.0559959188235155e-10,7.3028501755796825e-11,7.1767153660195897e-11,7.2797991792898306e-12,6.7117294581233226e-13,2.6627449235553172e-13,2.5541934435766959e-13,,,,,,,,,
8,,2008,0128,0301,IS_MMLI__BHE,,,,IS,3.4,,,,,,,35.299,36.235,,,,,,,,326.132054,,,,,,,,32.438,35.422,,,,,,,,,,,,1.0355580083613316,11.548025876957055,,,7.4361588814938364e-05,2.55127001967375e-07,1.2042920186198035e-08,2.6647076937117407e-10,2.665082099406368e-10,2.665515528690211e-10,2.6663134145482377e-10,2.6676020455812508e-10,2.6691560012636072e-10,2.6715013409516438e-10,2.6748786373128876e-10,2.6803202573611524e-10,2.6869531262765746e-10,2.698128227675045e-10,2.7135889956615922e-10,2.7327931001833925e-10,2.772795467034199e-10,2.8357838112564536e-10,2.9685947377938984e-10,3.0955981099905013e-10,3.7479572194506196e-10,4.3274905957057956e-10,7.9481294901788016e-10,2.6237250686817543e-09,6.1205928113161136e-09,4.4219745276288763e-09,7.8241203836424767e-09,1.7275563079578456e-08,1.5032336718493011e-08,2.5398255395751834e-08,1.1704842042443386e-07,1.0955824623834897e-07,2.569804159901446e-07,1.02008480472125e-07,2.9762562483474595e-07,1.5494988841365821e-07,3.5415965557297936e-07,1.3355113521388748e-07,9.6496293967307731e-08,1.0900454080054136e-07,1.1364508002411836e-07,4.7978413914572645e-08,4.5048369640600916e-08,6.3363527032474565e-10,1.1260067819027629e-10,,,,,,,,,
9,,2008,0128,0301,IS_DSI__SHN,,,,IS,3.4,,,,,,,35.299,36.235,,,,,,,,418.406566,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.78553852521241185,10.982173594246373,,,0.00010074758159113945,5.088675604665094e-07,3.7557301792866597e-08,3.9215490606324893e-10,3.9230931265171837e-10,3.9256409152992938e-10,3.9287209249866196e-10,3.9362968613086845e-10,3.9448587176874899e-10,3.9573317918477586e-10,3.972118677599028e-10,4.0028969445533849e-10,4.0350571703988211e-10,4.0779566634178891e-10,4.1416062340417063e-10,4.2871340435555783e-10,4.4538287514745668e-10,4.6316260451140877e-10,5.2384871382263244e-10,5.1327568101815842e-10,7.4401746041619865e-10,1.0735099704276381e-09,6.4258962664738155e-09,5.1892080955271444e-09,1.1547236509124287e-08,1.0553142298655698e-08,3.3147691839394474e-08,4.9809548789108979e-08,1.4618950113818411e-07,9.0349113222450159e-08,3.3010969770222223e-08,1.8625376740893461e-07,1.7067701258003183e-07,3.2902462967193729e-07,1.2628442437507e-07,9.8713546136485172e-08,3.3631995259569585e-07,4.1406724540829091e-07,1.3519739425181428e-07,1.2815620789074184e-07,5.8217331128274875e-08,3.0787123897940096e-08,1.2945938006126241e-08,6.1572341274780084e-10,1.0681043137143826e-10,,,,,,,,,
10,,2008,0128,0301,IS_MMB4__BHZ,,,,IS,3.4,,,,,,,35.299,36.235,,,,,,,,264.118327,,,,,,,,33.02084,35.40199,,,,,,,,,,,,0.44080233043335432,13.426600924495034,,,6.836461526613742e-05,1.7803338908575443e-07,6.715080654174133e-09,8.9499752227574628e-11,8.9526664025830033e-11,8.9556184671429967e-11,8.9609475207233871e-11,8.9698224385963165e-11,8.9805237651968774e-11,8.9963620874315291e-11,9.0196459048975852e-11,9.057338163419008e-11,9.1030411103753697e-11,9.1785312179907707e-11,9.2880924247762123e-11,9.4483488374092642e-11,9.7308368165830416e-11,1.0287771712886842e-10,1.0101139984518147e-10,1.0376884909490147e-10,1.5376022111037062e-10,1.3130493595892783e-10,1.4234628800717159e-10,4.5720493828437509e-09,1.1595494544585556e-08,5.4045705442556424e-09,1.6045583163537279e-08,4.2853176246531482e-09,6.9108531211727211e-09,1.6995580071403502e-08,4.0399338508410356e-09,1.8174503617488705e-08,4.0811225550027147e-08,1.0714289720956767e-07,3.4897429773415334e-08,8.9937539744980171e-08,8.7866657019102037e-08,5.7267803557650957e-08,1.2117954848551238e-07,6.3791877661095951e-08,5.1207999472792808e-08,1.2782455701683552e-07,3.0694966873248869e-08,3.132126288793585e-09,3.5660197035069214e-11,,,,,,,,,
