Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type,Mw1,Mo,Mw2
1/4/2008,15:50:02,117,3.1,0,0,32.0764,35.4734,3,E.Shomron,EQ,2.9,13.4759,2.9
1/5/2008,5:28:06,248,3.5,0,0,32.0732,36.2551,8,Northern-Jordan,EQ,3.3,13.8975,3.2
1/28/2008,3:45:01,842,3.7,0,0,35.299,36.235,0,Yamune,EQ,3.4,14.1311,3.4
2/3/2008,17:06:46,543,3.5,0,0,28.9188,34.7724,0,Aragonese-Deep,EQ,3.3,13.8975,3.2
2/11/2008,23:47:02,368,4.3,4.4,0,33.2566,35.4157,0,Lebanon,F,4,14.9231,3.9
2/12/2008,14:19:37,792,3.3,0,0,33.2415,35.433,0,Lebanon,EQ,3.1,13.6791,3.1
2/14/2008,16:55:59,914,3.4,0,0,33.282,35.3936,2,Lebanon,EQ,3.2,13.7864,3.1
2/14/2008,18:11:04,149,3.3,0,0,33.2219,35.4175,0,Lebanon,EQ,3.1,13.6791,3.1
2/15/2008,10:36:17,239,4.9,5.1,0,33.3271,35.4059,3,Lebanon,F ,4.5,15.8519,4.5
2/15/2008,12:15:15,791,3.8,0,0,33.253,35.4312,0,Lebanon,EQ,3.5,14.2536,3.4
2/15/2008,13:26:50,616,3.6,0,3.4,33.2731,35.4169,0,Lebanon,EQ,3.4,,3.4
2/16/2008,18:00:27,378,3.1,0,0,33.2279,35.4397,0,Lebanon,EQ,2.9,13.4759,2.9
2/20/2008,8:53:20,823,3.6,0,0,33.2435,35.4276,0,Lebanon,EQ,3.4,14.0124,3.3
2/28/2008,13:39:45,557,3,0,0,33.2435,35.4319,1,Lebanon,EQ,2.8,13.38,2.9
3/1/2008,5:47:33,881,3.4,0,0,33.2575,35.4334,0,Lebanon,EQ,3.2,13.7864,3.1
3/18/2008,3:09:56,431,3.1,0,0,27.8517,34.1852,0,Sinai,EQ,2.9,13.4759,2.9
3/20/2008,9:06:34,75,3.6,0,0,27.6506,34.7002,10,Red-Sea,EQ,3.4,14.0124,3.3
3/20/2008,23:03:01,202,3.5,0,0,34.3915,32.1513,32,Cyprus,EQ,3.3,13.8975,3.2
3/23/2008,23:54:39,484,3.9,4.1,0,27.3473,35.2423,10,Red-Sea,EQ,3.6,14.3799,3.5
3/30/2008,3:10:02,452,3,0,0,33.2466,35.4217,1,Lebanon,EQ,2.8,13.38,2.9
4/4/2008,14:05:17,448,3.9,4.1,0,28.7147,34.8601,0,Aragonese-Deep,EQ,3.6,14.3799,3.5
4/4/2008,14:14:47,659,3.4,0,0,28.8365,34.6325,0,Aragonese-Deep,EQ,3.2,13.7864,3.1
4/6/2008,22:57:00,0,3.1,0,0,27.1506,35.485,0,Red-Sea,EQ,2.9,13.4759,2.9
4/7/2008,1:33:06,452,3.3,0,0,32.9586,34.9656,11,Carmel-Tirza,F,3.1,13.6791,3.1
4/13/2008,8:17:42,498,3.6,0,0,31.2822,35.5203,10,Dead-Sea-Basin,EQ,3.4,14.0124,3.3
