eventname,date,sta
20101019164758,2010-10-19T16_47_58,IS_MMC7__BHZ
20081006030624,2008-10-6T3_06_24,IS_ZFRI__SHZ
20081006030624,2008-10-6T3_06_24,IS_RTMI__SHZ
20081006030624,2008-10-6T3_06_24,IS_KZIT__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMA0B__BH1
20081006030624,2008-10-6T3_06_24,IS_MMA4__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMC5__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMA0B__BHZ
20081006030624,2008-10-6T3_06_24,IS_MZDA__SHZ
20081006030624,2008-10-6T3_06_24,IS_DSI__SHZ
20081006030624,2008-10-6T3_06_24,IS_MZDA__SHN
20081006030624,2008-10-6T3_06_24,IS_MMA0__BHZ
20081006030624,2008-10-6T3_06_24,IS_DSI__SHE
20081006030624,2008-10-6T3_06_24,IS_MZDA__SHE
20081006030624,2008-10-6T3_06_24,IS_DSI__SHN
20081006030624,2008-10-6T3_06_24,IS_MMB4__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMA3__BHZ
20081006030624,2008-10-6T3_06_24,IS_SLTI__SHN
20081006030624,2008-10-6T3_06_24,IS_MMC6__BHZ
20081006030624,2008-10-6T3_06_24,IS_SLTI__SHE
20081006030624,2008-10-6T3_06_24,IS_MMA1__BHZ
20081006030624,2008-10-6T3_06_24,IS_SLTI__SHZ
20081006030624,2008-10-6T3_06_24,IS_MMB1__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMC2__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMC4__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMC3__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMC7__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMLI__BHZ
20081006030624,2008-10-6T3_06_24,IS_OFRI__SHZ
20081006030624,2008-10-6T3_06_24,IS_MMLI__BHE
20081006030624,2008-10-6T3_06_24,IS_MMA2__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMC1__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMB3__BHZ
20081006030624,2008-10-6T3_06_24,IS_MMB2__BHZ
20081006030624,2008-10-6T3_06_24,IS_HNTI__SHE
20081006030624,2008-10-6T3_06_24,IS_MMA0B__BH2
20081006030624,2008-10-6T3_06_24,IS_HMDT__SHZ
20081006030624,2008-10-6T3_06_24,IS_HNTI__SHN
20081006030624,2008-10-6T3_06_24,IS_MMLI__BHN
20081118091334,2008-11-18T9_13_34,IS_RTMI__SHZ
20081118091334,2008-11-18T9_13_34,IS_KZIT__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMA0B__BH1
20081118091334,2008-11-18T9_13_34,IS_MMA4__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMC5__BHZ
20081118091334,2008-11-18T9_13_34,IS_MZDA__SHZ
20081118091334,2008-11-18T9_13_34,IS_DSI__SHZ
20081118091334,2008-11-18T9_13_34,IS_MZDA__SHN
20081118091334,2008-11-18T9_13_34,IS_MMA0__BHZ
20081118091334,2008-11-18T9_13_34,IS_DSI__SHE
20081118091334,2008-11-18T9_13_34,IS_MZDA__SHE
20081118091334,2008-11-18T9_13_34,IS_DSI__SHN
20081118091334,2008-11-18T9_13_34,IS_MMB4__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMA3__BHZ
20081118091334,2008-11-18T9_13_34,IS_SLTI__SHN
20081118091334,2008-11-18T9_13_34,IS_MMC6__BHZ
20081118091334,2008-11-18T9_13_34,IS_SLTI__SHE
20081118091334,2008-11-18T9_13_34,IS_MMA1__BHZ
20081118091334,2008-11-18T9_13_34,IS_SLTI__SHZ
20081118091334,2008-11-18T9_13_34,IS_MMB1__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMC2__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMA0B__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMC4__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMC3__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMC7__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMLI__BHZ
20081118091334,2008-11-18T9_13_34,IS_OFRI__SHZ
20081118091334,2008-11-18T9_13_34,IS_MMLI__BHE
20081118091334,2008-11-18T9_13_34,IS_MMA2__BHZ
20081118091334,2008-11-18T9_13_34,IS_MMC1__BHZ
