dateEQ: 2008-02-11T23:46:51,
magnitude: 4.3,
Epicenter Lat: 33.2952,
Epicenter Long: 35.4253,
Depth: 9.5648
AA, ALM, BHE, 31.78961, 35.46107, 166.998270114, 0
AA, ALM, BHN, 31.78961, 35.46107, 166.998270114, 0
AA, ALM, BHZ, 31.78961, 35.46107, 166.998270114, 0
AA, ALM, BLE, 31.78961, 35.46107, 166.998270114, 0
AA, ALM, BLN, 31.78961, 35.46107, 166.998270114, 0
AA, ALM, BLZ, 31.78961, 35.46107, 166.998270114, 0
AA, ALN, BHE, 32.72111, 35.14238, 68.9397569833, 0
AA, ALN, BHN, 32.72111, 35.14238, 68.9397569833, 0
AA, ALN, BHZ, 32.72111, 35.14238, 68.9397569833, 0
AA, ALN, BLE, 32.72111, 35.14238, 68.9397569833, 0
AA, ALN, BLN, 32.72111, 35.14238, 68.9397569833, 0
AA, ALN, BLZ, 32.72111, 35.14238, 68.9397569833, 0
AA, AMI, BHE, 32.92691, 35.53926, 42.2079307303, 0
AA, AMI, BHN, 32.92691, 35.53926, 42.2079307303, 0
AA, AMI, BHZ, 32.92691, 35.53926, 42.2079307303, 0
AA, AMI, BLE, 32.92691, 35.53926, 42.2079307303, 0
AA, AMI, BLN, 32.92691, 35.53926, 42.2079307303, 0
AA, AMI, BLZ, 32.92691, 35.53926, 42.2079307303, 0
AA, ARI, BHE, 32.10397, 35.20956, 133.646183372, 0
AA, ARI, BHN, 32.10397, 35.20956, 133.646183372, 0
AA, ARI, BHZ, 32.10397, 35.20956, 133.646183372, 0
AA, ARI, BLE, 32.10397, 35.20956, 133.646183372, 0
AA, ARI, BLN, 32.10397, 35.20956, 133.646183372, 0
AA, ARI, BLZ, 32.10397, 35.20956, 133.646183372, 0
AA, ASH, BHE, 31.84008, 34.65549, 176.8188106, 0
AA, ASH, BHN, 31.84008, 34.65549, 176.8188106, 0
AA, ASH, BHZ, 31.84008, 34.65549, 176.8188106, 0
AA, ASH, BLE, 31.84008, 34.65549, 176.8188106, 0
AA, ASH, BLN, 31.84008, 34.65549, 176.8188106, 0
AA, ASH, BLZ, 31.84008, 34.65549, 176.8188106, 0
AA, ASQ, BHE, 31.6302, 34.523, 203.191972472, 0
AA, ASQ, BHN, 31.6302, 34.523, 203.191972472, 0
AA, ASQ, BHZ, 31.6302, 34.523, 203.191972472, 0
AA, ASQ, BLE, 31.6302, 34.523, 203.191972472, 0
AA, ASQ, BLN, 31.6302, 34.523, 203.191972472, 0
AA, ASQ, BLZ, 31.6302, 34.523, 203.191972472, 0
AA, BET, BHE, 32.49776, 35.49797, 88.6991554587, 0
AA, BET, BHN, 32.49776, 35.49797, 88.6991554587, 0
AA, BET, BHZ, 32.49776, 35.49797, 88.6991554587, 0
AA, BET, BLE, 32.49776, 35.49797, 88.6991554587, 0
AA, BET, BLN, 32.49776, 35.49797, 88.6991554587, 0
AA, BET, BLZ, 32.49776, 35.49797, 88.6991554587, 0
AA, BETS, BHE, 32.49776, 35.49797, 88.6991554587, 0
AA, BETS, BHN, 32.49776, 35.49797, 88.6991554587, 0
AA, BETS, BHZ, 32.49776, 35.49797, 88.6991554587, 0
AA, BETS, BLE, 32.49776, 35.49797, 88.6991554587, 0
AA, BETS, BLN, 32.49776, 35.49797, 88.6991554587, 0
AA, BETS, BLZ, 32.49776, 35.49797, 88.6991554587, 0
AA, BNR, BHE, 31.64895, 34.87188, 189.828110044, 0
AA, BNR, BHN, 31.64895, 34.87188, 189.828110044, 0
AA, BNR, BHZ, 31.64895, 34.87188, 189.828110044, 0
AA, BNR, BLE, 31.64895, 34.87188, 189.828110044, 0
AA, BNR, BLN, 31.64895, 34.87188, 189.828110044, 0
AA, BNR, BLZ, 31.64895, 34.87188, 189.828110044, 0
AA, DA1, BHE, 31.23, 35.398, 229.027501894, 0
AA, DA1, BHN, 31.23, 35.398, 229.027501894, 0
AA, DA1, BHZ, 31.23, 35.398, 229.027501894, 0
AA, DA1, BLE, 31.23, 35.398, 229.027501894, 0
AA, DA1, BLN, 31.23, 35.398, 229.027501894, 0
AA, DA1, BLZ, 31.23, 35.398, 229.027501894, 0
AA, DA2, BHE, 31.176, 35.441, 235.004857175, 0
AA, DA2, BHN, 31.176, 35.441, 235.004857175, 0
AA, DA2, BHZ, 31.176, 35.441, 235.004857175, 0
AA, DA2, BLE, 31.176, 35.441, 235.004857175, 0
