dateEQ: 2008-01-04T15:48:38,
magnitude: 3,
Epicenter Lat: 32.0741,
Epicenter Long: 35.4862,
Depth: 5.2036
AA, ALM, BHE, 31.78961, 35.46107, 31.6352291849, 0
AA, ALM, BHN, 31.78961, 35.46107, 31.6352291849, 0
AA, ALM, BHZ, 31.78961, 35.46107, 31.6352291849, 0
AA, ALM, BLE, 31.78961, 35.46107, 31.6352291849, 0
AA, ALM, BLN, 31.78961, 35.46107, 31.6352291849, 0
AA, ALM, BLZ, 31.78961, 35.46107, 31.6352291849, 0
AA, ALN, BHE, 32.72111, 35.14238, 78.704006717, 0
AA, ALN, BHN, 32.72111, 35.14238, 78.704006717, 0
AA, ALN, BHZ, 32.72111, 35.14238, 78.704006717, 0
AA, ALN, BLE, 32.72111, 35.14238, 78.704006717, 0
AA, ALN, BLN, 32.72111, 35.14238, 78.704006717, 0
AA, ALN, BLZ, 32.72111, 35.14238, 78.704006717, 0
AA, AMI, BHE, 32.92691, 35.53926, 94.7042464386, 0
AA, AMI, BHN, 32.92691, 35.53926, 94.7042464386, 0
AA, AMI, BHZ, 32.92691, 35.53926, 94.7042464386, 0
AA, AMI, BLE, 32.92691, 35.53926, 94.7042464386, 0
AA, AMI, BLN, 32.92691, 35.53926, 94.7042464386, 0
AA, AMI, BLZ, 32.92691, 35.53926, 94.7042464386, 0
AA, ARI, BHE, 32.10397, 35.20956, 26.3244924305, 0
AA, ARI, BHN, 32.10397, 35.20956, 26.3244924305, 0
AA, ARI, BHZ, 32.10397, 35.20956, 26.3244924305, 0
AA, ARI, BLE, 32.10397, 35.20956, 26.3244924305, 0
AA, ARI, BLN, 32.10397, 35.20956, 26.3244924305, 0
AA, ARI, BLZ, 32.10397, 35.20956, 26.3244924305, 0
AA, ASH, BHE, 31.84008, 34.65549, 82.7088397582, 0
AA, ASH, BHN, 31.84008, 34.65549, 82.7088397582, 0
AA, ASH, BHZ, 31.84008, 34.65549, 82.7088397582, 0
AA, ASH, BLE, 31.84008, 34.65549, 82.7088397582, 0
AA, ASH, BLN, 31.84008, 34.65549, 82.7088397582, 0
AA, ASH, BLZ, 31.84008, 34.65549, 82.7088397582, 0
AA, ASQ, BHE, 31.6302, 34.523, 103.600383175, 0
AA, ASQ, BHN, 31.6302, 34.523, 103.600383175, 0
AA, ASQ, BHZ, 31.6302, 34.523, 103.600383175, 0
AA, ASQ, BLE, 31.6302, 34.523, 103.600383175, 0
AA, ASQ, BLN, 31.6302, 34.523, 103.600383175, 0
AA, ASQ, BLZ, 31.6302, 34.523, 103.600383175, 0
AA, BET, BHE, 32.49776, 35.49797, 46.9935124164, 0
AA, BET, BHN, 32.49776, 35.49797, 46.9935124164, 0
AA, BET, BHZ, 32.49776, 35.49797, 46.9935124164, 0
AA, BET, BLE, 32.49776, 35.49797, 46.9935124164, 0
AA, BET, BLN, 32.49776, 35.49797, 46.9935124164, 0
AA, BET, BLZ, 32.49776, 35.49797, 46.9935124164, 0
AA, BETS, BHE, 32.49776, 35.49797, 46.9935124164, 0
AA, BETS, BHN, 32.49776, 35.49797, 46.9935124164, 0
AA, BETS, BHZ, 32.49776, 35.49797, 46.9935124164, 0
AA, BETS, BLE, 32.49776, 35.49797, 46.9935124164, 0
AA, BETS, BLN, 32.49776, 35.49797, 46.9935124164, 0
