dateEQ: 2008-01-28T03:44:01,
magnitude: 0,
Epicenter Lat: 35.299,
Epicenter Long: 36.235,
Depth: 0
AA, ALM, BHE, 31.78961, 35.46107, 395.817926915, 0
AA, ALM, BHN, 31.78961, 35.46107, 395.817926915, 0
AA, ALM, BHZ, 31.78961, 35.46107, 395.817926915, 0
AA, ALM, BLE, 31.78961, 35.46107, 395.817926915, 0
AA, ALM, BLN, 31.78961, 35.46107, 395.817926915, 0
AA, ALM, BLZ, 31.78961, 35.46107, 395.817926915, 0
AA, ALN, BHE, 32.72111, 35.14238, 303.229179019, 0
AA, ALN, BHN, 32.72111, 35.14238, 303.229179019, 0
AA, ALN, BHZ, 32.72111, 35.14238, 303.229179019, 0
AA, ALN, BLE, 32.72111, 35.14238, 303.229179019, 0
AA, ALN, BLN, 32.72111, 35.14238, 303.229179019, 0
AA, ALN, BLZ, 32.72111, 35.14238, 303.229179019, 0
AA, AMI, BHE, 32.92691, 35.53926, 270.836962533, 0
AA, AMI, BHN, 32.92691, 35.53926, 270.836962533, 0
AA, AMI, BHZ, 32.92691, 35.53926, 270.836962533, 0
AA, AMI, BLE, 32.92691, 35.53926, 270.836962533, 0
AA, AMI, BLN, 32.92691, 35.53926, 270.836962533, 0
AA, AMI, BLZ, 32.92691, 35.53926, 270.836962533, 0
AA, ARI, BHE, 32.10397, 35.20956, 366.905326171, 0
AA, ARI, BHN, 32.10397, 35.20956, 366.905326171, 0
AA, ARI, BHZ, 32.10397, 35.20956, 366.905326171, 0
AA, ARI, BLE, 32.10397, 35.20956, 366.905326171, 0
AA, ARI, BLN, 32.10397, 35.20956, 366.905326171, 0
AA, ARI, BLZ, 32.10397, 35.20956, 366.905326171, 0
AA, ASH, BHE, 31.84008, 34.65549, 410.701489746, 0
AA, ASH, BHN, 31.84008, 34.65549, 410.701489746, 0
AA, ASH, BHZ, 31.84008, 34.65549, 410.701489746, 0
AA, ASH, BLE, 31.84008, 34.65549, 410.701489746, 0
AA, ASH, BLN, 31.84008, 34.65549, 410.701489746, 0
AA, ASH, BLZ, 31.84008, 34.65549, 410.701489746, 0
AA, ASQ, BHE, 31.6302, 34.523, 436.908683685, 0
AA, ASQ, BHN, 31.6302, 34.523, 436.908683685, 0
AA, ASQ, BHZ, 31.6302, 34.523, 436.908683685, 0
AA, ASQ, BLE, 31.6302, 34.523, 436.908683685, 0
AA, ASQ, BLN, 31.6302, 34.523, 436.908683685, 0
AA, ASQ, BLZ, 31.6302, 34.523, 436.908683685, 0
AA, BET, BHE, 32.49776, 35.49797, 318.102410379, 0
AA, BET, BHN, 32.49776, 35.49797, 318.102410379, 0
AA, BET, BHZ, 32.49776, 35.49797, 318.102410379, 0
AA, BET, BLE, 32.49776, 35.49797, 318.102410379, 0
AA, BET, BLN, 32.49776, 35.49797, 318.102410379, 0
AA, BET, BLZ, 32.49776, 35.49797, 318.102410379, 0
AA, BETS, BHE, 32.49776, 35.49797, 318.102410379, 0
AA, BETS, BHN, 32.49776, 35.49797, 318.102410379, 0
AA, BETS, BHZ, 32.49776, 35.49797, 318.102410379, 0
AA, BETS, BLE, 32.49776, 35.49797, 318.102410379, 0
AA, BETS, BLN, 32.49776, 35.49797, 318.102410379, 0
AA, BETS, BLZ, 32.49776, 35.49797, 318.102410379, 0
AA, BNR, BHE, 31.64895, 34.87188, 424.187149976, 0
AA, BNR, BHN, 31.64895, 34.87188, 424.187149976, 0
AA, BNR, BHZ, 31.64895, 34.87188, 424.187149976, 0
AA, BNR, BLE, 31.64895, 34.87188, 424.187149976, 0
AA, BNR, BLN, 31.64895, 34.87188, 424.187149976, 0
AA, BNR, BLZ, 31.64895, 34.87188, 424.187149976, 0
AA, DA1, BHE, 31.23, 35.398, 457.972469635, 0
AA, DA1, BHN, 31.23, 35.398, 457.972469635, 0
AA, DA1, BHZ, 31.23, 35.398, 457.972469635, 0
AA, DA1, BLE, 31.23, 35.398, 457.972469635, 0
AA, DA1, BLN, 31.23, 35.398, 457.972469635, 0
AA, DA1, BLZ, 31.23, 35.398, 457.972469635, 0
AA, DA2, BHE, 31.176, 35.441, 463.220770111, 0
AA, DA2, BHN, 31.176, 35.441, 463.220770111, 0
AA, DA2, BHZ, 31.176, 35.441, 463.220770111, 0
AA, DA2, BLE, 31.176, 35.441, 463.220770111, 0
AA, DA2, BLN, 31.176, 35.441, 463.220770111, 0
AA, DA2, BLZ, 31.176, 35.441, 463.220770111, 0
AA, DA3, BHE, 31.082, 35.446, 473.445232672, 0
AA, DA3, BHN, 31.082, 35.446, 473.445232672, 0
AA, DA3, BHZ, 31.082, 35.446, 473.445232672, 0
AA, DA3, BLE, 31.082, 35.446, 473.445232672, 0
AA, DA3, BLN, 31.082, 35.446, 473.445232672, 0
AA, DA3, BLZ, 31.082, 35.446, 473.445232672, 0
AA, DAM1, BHE, 31.23125, 35.39668, 457.856754686, 0
AA, DAM1, BHN, 31.23125, 35.39668, 457.856754686, 0
AA, DAM1, BHZ, 31.23125, 35.39668, 457.856754686, 0
AA, DAM1, BLE, 31.23125, 35.39668, 457.856754686, 0
AA, DAM1, BLN, 31.23125, 35.39668, 457.856754686, 0
AA, DAM1, BLZ, 31.23125, 35.39668, 457.856754686, 0
AA, DIM, BHE, 31.001, 35.142, 487.453068254, 0
AA, DIM, BHN, 31.001, 35.142, 487.453068254, 0
AA, DIM, BHZ, 31.001, 35.142, 487.453068254, 0
AA, DIM, BLE, 31.001, 35.142, 487.453068254, 0
AA, DIM, BLN, 31.001, 35.142, 487.453068254, 0
AA, DIM, BLZ, 31.001, 35.142, 487.453068254, 0
AA, EFR, BHE, 32.07085, 35.40339, 366.260212382, 0
AA, EFR, BHN, 32.07085, 35.40339, 366.260212382, 0
AA, EFR, BHZ, 32.07085, 35.40339, 366.260212382, 0
AA, EFR, BLE, 32.07085, 35.40339, 366.260212382, 0
AA, EFR, BLN, 32.07085, 35.40339, 366.260212382, 0
AA, EFR, BLZ, 32.07085, 35.40339, 366.260212382, 0
AA, EIL, BLE, 29.56517, 34.94902, 647.230785017, 0
AA, EIL, BLN, 29.56517, 34.94902, 647.230785017, 0
AA, EIL, BLZ, 29.56517, 34.94902, 647.230785017, 0
AA, EILT, BHE, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BHN, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BHZ, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BLE, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BLN, 31.5918, 35.3933, 418.550946622, 0
AA, EILT, BLZ, 31.5918, 35.3933, 418.550946622, 0
AA, ELOT, BHE, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BHN, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BHZ, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BLE, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BLN, 29.58234, 34.96373, 645.101801381, 0
AA, ELOT, BLZ, 29.58234, 34.96373, 645.101801381, 0
AA, GOS, BHE, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BHN, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BHZ, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BLE, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BLN, 33.21959, 35.62411, 237.424307598, 0
AA, GOS, BLZ, 33.21959, 35.62411, 237.424307598, 0
AA, HAC, BHE, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BHN, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BHZ, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BLE, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BLN, 32.81151, 35.02058, 297.823309847, 0
AA, HAC, BLZ, 32.81151, 35.02058, 297.823309847, 0
AA, HAD, BHE, 32.46655, 34.88686, 338.014495982, 0
AA, HAD, BHN, 32.46655, 34.88686, 338.014495982, 0
